Date,Company,Headline,Sentiment_Score,Sentiment
2025-08-12,TCS,TCS posts record quarterly profit,0.7262,Positive
2025-08-13,TCS,TCS Q3 results beat street estimates,0.918,Positive
2025-08-14,SBI,SBI reports strong revenue growth,0.4704,Positive
2025-08-15,TCS,"TCS dividend declared, investors rejoice",0.8372,Positive
2025-08-15,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.6429,Positive
2025-08-15,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.9237,Positive
2025-08-16,Infosys,Infosys reports strong revenue growth,0.7699,Positive
2025-08-17,ITC,ITC reports strong revenue growth,0.4819,Positive
2025-08-17,Infosys,Infosys wins major government contract,0.3128,Positive
2025-08-19,Larsen & Toubro,Analysts upgrade Larsen & Toubro to BUY,0.6147,Positive
2025-08-19,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.9028,Positive
2025-08-20,TCS,Analysts upgrade TCS to BUY,0.5359,Positive
2025-08-21,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.9856,Positive
2025-08-21,SBI,Analysts upgrade SBI to BUY,0.6089,Positive
2025-08-21,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.5451,Positive
2025-08-22,ICICI Bank,ICICI Bank posts record quarterly profit,0.94,Positive
2025-08-23,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.7322,Positive
2025-08-24,ICICI Bank,ICICI Bank wins major government contract,0.6317,Positive
2025-08-25,SBI,SBI announces expansion plans,0.6629,Positive
2025-08-25,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",0.7947,Positive
2025-08-25,Infosys,Infosys posts record quarterly profit,0.4214,Positive
2025-08-25,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.7129,Positive
2025-08-26,TCS,TCS Q3 results beat street estimates,0.7094,Positive
2025-08-27,HDFC Bank,HDFC Bank posts record quarterly profit,0.8173,Positive
2025-08-27,ITC,ITC announces expansion plans,0.4839,Positive
2025-08-27,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.5252,Positive
2025-08-27,ICICI Bank,FII buying seen in ICICI Bank shares,0.9216,Positive
2025-08-28,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.6959,Positive
2025-08-28,ITC,ITC Q3 results beat street estimates,0.7724,Positive
2025-08-29,ICICI Bank,FII buying seen in ICICI Bank shares,0.5675,Positive
2025-08-29,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.7402,Positive
2025-08-29,HDFC Bank,FII buying seen in HDFC Bank shares,0.6204,Positive
2025-08-31,ITC,Analysts upgrade ITC to BUY,1.0,Positive
2025-09-03,ITC,ITC announces expansion plans,0.5541,Positive
2025-09-03,SBI,SBI Q3 results beat street estimates,0.2395,Positive
2025-09-03,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.7864,Positive
2025-09-03,SBI,SBI Q3 results beat street estimates,0.9931,Positive
2025-09-04,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.8312,Positive
2025-09-05,Reliance Industries,Reliance Industries reports strong revenue growth,0.9425,Positive
2025-09-05,ITC,ITC reports strong revenue growth,0.171,Positive
2025-09-05,ITC,ITC announces expansion plans,0.362,Positive
2025-09-06,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.6438,Positive
2025-09-06,SBI,"SBI dividend declared, investors rejoice",0.7411,Positive
2025-09-06,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.5679,Positive
2025-09-07,Bharti Airtel,Bharti Airtel wins major government contract,0.7162,Positive
2025-09-08,Bharti Airtel,Bharti Airtel wins major government contract,0.825,Positive
2025-09-10,SBI,"SBI dividend declared, investors rejoice",0.4984,Positive
2025-09-11,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.6037,Positive
2025-09-11,ICICI Bank,ICICI Bank announces expansion plans,0.7764,Positive
2025-09-11,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.6938,Positive
2025-09-13,ITC,ITC Q3 results beat street estimates,0.5053,Positive
2025-09-13,HDFC Bank,HDFC Bank Q3 results beat street estimates,0.7218,Positive
2025-09-14,ITC,ITC wins major government contract,0.9898,Positive
2025-09-15,Hindustan Unilever,FII selling pressure in Hindustan Unilever,-0.1858,Negative
2025-09-16,HDFC Bank,HDFC Bank announces expansion plans,0.7506,Positive
2025-09-17,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.5538,Positive
2025-09-19,Bharti Airtel,Analysts upgrade Bharti Airtel to BUY,0.775,Positive
2025-09-19,TCS,"TCS dividend declared, investors rejoice",0.7534,Positive
2025-09-21,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.6186,Positive
2025-09-22,ICICI Bank,ICICI Bank reports strong revenue growth,0.7435,Positive
2025-09-24,HDFC Bank,HDFC Bank reports strong revenue growth,0.924,Positive
2025-09-25,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.5295,Positive
2025-09-26,SBI,"SBI dividend declared, investors rejoice",0.5321,Positive
2025-09-26,Infosys,Infosys announces expansion plans,0.69,Positive
2025-09-28,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.8264,Positive
2025-09-28,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.9431,Positive
2025-10-02,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.3716,Positive
2025-10-03,Larsen & Toubro,Larsen & Toubro wins major government contract,0.6021,Positive
2025-10-05,ITC,ITC reports strong revenue growth,0.6607,Positive
2025-10-05,TCS,Analysts upgrade TCS to BUY,0.7512,Positive
2025-10-05,Reliance Industries,Reliance Industries announces expansion plans,0.8145,Positive
2025-10-05,Infosys,Infosys reports strong revenue growth,0.533,Positive
2025-10-05,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.714,Positive
2025-10-06,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.7114,Positive
2025-10-07,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.7427,Positive
2025-10-07,Infosys,Infosys reports strong revenue growth,0.3458,Positive
2025-10-07,Hindustan Unilever,Hindustan Unilever wins major government contract,0.8224,Positive
2025-10-08,Reliance Industries,Reliance Industries announces expansion plans,0.7856,Positive
2025-10-09,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.8601,Positive
2025-10-09,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.6937,Positive
2025-10-10,HDFC Bank,HDFC Bank Q3 results beat street estimates,0.6049,Positive
2025-10-10,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.6313,Positive
2025-10-11,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.4642,Positive
2025-10-11,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.5863,Positive
2025-10-13,Infosys,Analysts upgrade Infosys to BUY,0.4806,Positive
2025-10-13,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.538,Positive
2025-10-14,TCS,"TCS dividend declared, investors rejoice",0.8128,Positive
2025-10-14,ITC,ITC posts record quarterly profit,0.5151,Positive
2025-10-15,ITC,ITC wins major government contract,0.7642,Positive
2025-10-16,HDFC Bank,HDFC Bank reports strong revenue growth,0.7016,Positive
2025-10-17,TCS,TCS Q3 results beat street estimates,0.7595,Positive
2025-10-17,Reliance Industries,Reliance Industries wins major government contract,0.8642,Positive
2025-10-18,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.4237,Positive
2025-10-19,Infosys,Analysts upgrade Infosys to BUY,0.7049,Positive
2025-10-20,HDFC Bank,HDFC Bank Q3 results beat street estimates,0.3875,Positive
2025-10-20,ICICI Bank,FII buying seen in ICICI Bank shares,0.8446,Positive
2025-10-22,ICICI Bank,ICICI Bank announces expansion plans,0.6614,Positive
2025-10-22,Infosys,Infosys announces expansion plans,0.9558,Positive
2025-10-22,TCS,Analysts upgrade TCS to BUY,0.8714,Positive
2025-10-22,ITC,Analysts upgrade ITC to BUY,0.8249,Positive
2025-10-23,Bharti Airtel,Bharti Airtel announces expansion plans,0.7425,Positive
2025-10-25,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.5411,Positive
2025-10-29,TCS,TCS Q3 results beat street estimates,0.6967,Positive
2025-10-30,HDFC Bank,HDFC Bank wins major government contract,0.8406,Positive
2025-10-30,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.4694,Positive
2025-10-30,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.4593,Positive
2025-10-30,ICICI Bank,ICICI Bank posts record quarterly profit,0.5955,Positive
2025-10-30,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.5329,Positive
2025-10-31,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.5388,Positive
2025-11-01,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.5462,Positive
2025-11-01,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,0.331,Positive
2025-11-02,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.1737,Positive
2025-11-02,Reliance Industries,Reliance Industries posts record quarterly profit,0.9577,Positive
2025-11-02,SBI,"SBI dividend declared, investors rejoice",0.453,Positive
2025-11-03,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.6796,Positive
2025-11-03,ICICI Bank,FII buying seen in ICICI Bank shares,0.3525,Positive
2025-11-03,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.5708,Positive
2025-11-05,TCS,"TCS dividend declared, investors rejoice",0.6809,Positive
2025-11-05,TCS,Analysts upgrade TCS to BUY,0.5695,Positive
2025-11-05,ICICI Bank,ICICI Bank posts record quarterly profit,0.8215,Positive
2025-11-05,SBI,SBI reports strong revenue growth,0.7704,Positive
2025-11-07,TCS,Analysts upgrade TCS to BUY,0.6613,Positive
2025-11-07,Reliance Industries,Reliance Industries wins major government contract,0.9456,Positive
2025-11-07,Reliance Industries,Reliance Industries posts record quarterly profit,0.7825,Positive
2025-11-08,HDFC Bank,FII buying seen in HDFC Bank shares,0.9237,Positive
2025-11-09,SBI,"SBI dividend declared, investors rejoice",0.5784,Positive
2025-11-09,SBI,SBI posts record quarterly profit,0.7853,Positive
2025-11-11,Reliance Industries,Reliance Industries reports strong revenue growth,0.7093,Positive
2025-11-11,Larsen & Toubro,Analysts upgrade Larsen & Toubro to BUY,0.4365,Positive
2025-11-12,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.3353,Positive
2025-11-12,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.5751,Positive
2025-11-12,Bharti Airtel,Bharti Airtel announces expansion plans,0.695,Positive
2025-11-14,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.5027,Positive
2025-11-14,TCS,TCS posts record quarterly profit,0.7517,Positive
2025-11-14,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.6955,Positive
2025-11-14,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.8613,Positive
2025-11-15,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.1636,Positive
2025-11-15,Bharti Airtel,Bharti Airtel announces expansion plans,0.6595,Positive
2025-11-16,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.8236,Positive
2025-11-16,Hindustan Unilever,"Hindustan Unilever dividend declared, investors rejoice",0.4312,Positive
2025-11-16,Reliance Industries,Reliance Industries reports strong revenue growth,0.8585,Positive
2025-11-16,Infosys,Infosys reports strong revenue growth,0.8194,Positive
2025-11-16,ITC,ITC posts record quarterly profit,0.3845,Positive
2025-11-18,TCS,"TCS dividend declared, investors rejoice",0.4325,Positive
2025-11-18,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.5212,Positive
2025-11-21,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",0.8596,Positive
2025-11-21,HDFC Bank,HDFC Bank reports strong revenue growth,0.7661,Positive
2025-11-22,ITC,ITC wins major government contract,0.7552,Positive
2025-11-22,ICICI Bank,ICICI Bank announces expansion plans,0.5395,Positive
2025-11-23,Reliance Industries,Reliance Industries reports strong revenue growth,0.7629,Positive
2025-11-23,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.6036,Positive
2025-11-24,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.8184,Positive
2025-11-26,HDFC Bank,HDFC Bank reports strong revenue growth,0.4928,Positive
2025-11-27,ITC,"ITC dividend declared, investors rejoice",0.6499,Positive
2025-11-28,ITC,ITC posts record quarterly profit,0.6625,Positive
2025-11-28,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.8999,Positive
2025-11-30,TCS,TCS Q3 results beat street estimates,0.6993,Positive
2025-11-30,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,0.3125,Positive
2025-11-30,Reliance Industries,Reliance Industries reports strong revenue growth,0.6551,Positive
2025-12-01,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.7869,Positive
2025-12-01,Reliance Industries,Reliance Industries reports strong revenue growth,0.5703,Positive
2025-12-03,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,1.0,Positive
2025-12-03,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.5934,Positive
2025-12-04,Infosys,"Infosys dividend declared, investors rejoice",0.4901,Positive
2025-12-05,SBI,SBI wins major government contract,0.1326,Positive
2025-12-06,ICICI Bank,ICICI Bank announces expansion plans,0.7362,Positive
2025-12-07,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.6972,Positive
2025-12-09,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.3189,Positive
2025-12-09,Larsen & Toubro,Larsen & Toubro wins major government contract,0.5305,Positive
2025-12-10,SBI,"SBI dividend declared, investors rejoice",0.7427,Positive
2025-12-10,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.8939,Positive
2025-12-10,TCS,TCS Q3 results beat street estimates,0.5247,Positive
2025-12-11,ICICI Bank,ICICI Bank reports strong revenue growth,0.9529,Positive
2025-12-13,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.9813,Positive
2025-12-13,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.9209,Positive
2025-12-13,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,0.8683,Positive
2025-12-14,HDFC Bank,FII buying seen in HDFC Bank shares,0.8932,Positive
2025-12-14,SBI,FII buying seen in SBI shares,0.3056,Positive
2025-12-15,Hindustan Unilever,"Hindustan Unilever dividend declared, investors rejoice",0.6184,Positive
2025-12-16,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.5001,Positive
2025-12-16,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.3684,Positive
2025-12-16,Infosys,FII buying seen in Infosys shares,1.0,Positive
2025-12-16,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.9284,Positive
2025-12-17,HDFC Bank,HDFC Bank posts record quarterly profit,0.593,Positive
2025-12-19,Reliance Industries,Reliance Industries reports strong revenue growth,0.7531,Positive
2025-12-19,Infosys,FII buying seen in Infosys shares,0.7836,Positive
2025-12-20,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.7707,Positive
2025-12-20,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.494,Positive
2025-12-21,HDFC Bank,FII buying seen in HDFC Bank shares,0.7788,Positive
2025-12-22,Infosys,Infosys announces expansion plans,0.2423,Positive
2025-12-24,ITC,ITC reports strong revenue growth,1.0,Positive
2025-12-24,ICICI Bank,ICICI Bank posts record quarterly profit,0.7962,Positive
2025-12-25,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.3625,Positive
2025-12-26,ITC,"ITC dividend declared, investors rejoice",0.5253,Positive
2025-12-26,ITC,ITC Q3 results beat street estimates,0.3194,Positive
2025-12-26,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.9239,Positive
2025-12-27,TCS,FII buying seen in TCS shares,0.7512,Positive
2025-12-28,SBI,SBI announces expansion plans,0.3829,Positive
2025-12-29,Reliance Industries,FII buying seen in Reliance Industries shares,0.6378,Positive
2025-12-29,SBI,SBI reports strong revenue growth,0.4504,Positive
2025-12-29,Infosys,Infosys posts record quarterly profit,0.6893,Positive
2025-12-30,Larsen & Toubro,Larsen & Toubro announces expansion plans,1.0,Positive
2025-12-30,HDFC Bank,HDFC Bank wins major government contract,0.9584,Positive
2025-12-30,SBI,SBI announces expansion plans,1.0,Positive
2025-12-31,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.865,Positive
2025-12-31,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.6594,Positive
2025-12-31,HDFC Bank,HDFC Bank posts record quarterly profit,0.6277,Positive
2025-12-31,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.5959,Positive
2026-01-01,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.6485,Positive
2026-01-01,Larsen & Toubro,Larsen & Toubro wins major government contract,0.4986,Positive
2026-01-02,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.8268,Positive
2026-01-03,HDFC Bank,HDFC Bank announces expansion plans,0.655,Positive
2026-01-04,Infosys,Analysts upgrade Infosys to BUY,0.4888,Positive
2026-01-04,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.7015,Positive
2026-01-04,ICICI Bank,ICICI Bank posts record quarterly profit,0.4337,Positive
2026-01-05,SBI,SBI board meeting scheduled,0.0638,Neutral
2026-01-05,Reliance Industries,Reliance Industries posts record quarterly profit,0.817,Positive
2026-01-07,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.5712,Positive
2026-01-07,Reliance Industries,Reliance Industries reports strong revenue growth,0.5496,Positive
2026-01-07,Hindustan Unilever,Hindustan Unilever wins major government contract,0.6499,Positive
2026-01-09,Infosys,Infosys announces expansion plans,0.8272,Positive
2026-01-11,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.8359,Positive
2026-01-12,TCS,TCS Q3 results beat street estimates,0.5356,Positive
2026-01-13,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.7219,Positive
2026-01-14,Hindustan Unilever,Hindustan Unilever wins major government contract,0.5963,Positive
2026-01-14,HDFC Bank,HDFC Bank announces expansion plans,0.6736,Positive
2026-01-15,ITC,ITC wins major government contract,0.7256,Positive
2026-01-16,SBI,"SBI dividend declared, investors rejoice",0.6692,Positive
2026-01-16,ITC,ITC posts record quarterly profit,0.6091,Positive
2026-01-17,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.8454,Positive
2026-01-17,Infosys,Analysts upgrade Infosys to BUY,0.6122,Positive
2026-01-17,TCS,TCS posts record quarterly profit,0.9829,Positive
2026-01-19,TCS,"TCS dividend declared, investors rejoice",0.6884,Positive
2026-01-20,SBI,"SBI dividend declared, investors rejoice",0.5419,Positive
2026-01-20,SBI,Analysts upgrade SBI to BUY,0.9765,Positive
2026-01-22,Infosys,Infosys announces expansion plans,0.8779,Positive
2026-01-23,ITC,ITC posts record quarterly profit,0.4176,Positive
2026-01-24,Bharti Airtel,Bharti Airtel reports strong revenue growth,1.0,Positive
2026-01-25,TCS,"TCS dividend declared, investors rejoice",0.7708,Positive
2026-01-26,TCS,FII buying seen in TCS shares,0.9808,Positive
2026-01-26,HDFC Bank,HDFC Bank posts record quarterly profit,0.9529,Positive
2026-01-26,Bharti Airtel,Bharti Airtel announces expansion plans,0.7995,Positive
2026-01-28,ITC,ITC announces expansion plans,0.8994,Positive
2026-01-29,HDFC Bank,HDFC Bank reports strong revenue growth,0.9107,Positive
2026-01-29,TCS,TCS announces expansion plans,0.5355,Positive
2026-01-29,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.7925,Positive
2026-01-30,TCS,TCS Q3 results beat street estimates,0.922,Positive
2026-01-30,HDFC Bank,HDFC Bank posts record quarterly profit,0.7237,Positive
2026-01-30,TCS,TCS wins major government contract,0.5977,Positive
2026-01-31,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.9227,Positive
2026-01-31,SBI,SBI announces expansion plans,0.5693,Positive
2026-02-01,SBI,SBI posts record quarterly profit,0.9691,Positive
2026-02-01,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.6139,Positive
2026-02-01,HDFC Bank,HDFC Bank posts record quarterly profit,0.6043,Positive
2026-02-02,HDFC Bank,HDFC Bank posts record quarterly profit,0.4512,Positive
2026-02-02,Infosys,Infosys reports strong revenue growth,0.7268,Positive
2026-02-02,HDFC Bank,FII buying seen in HDFC Bank shares,0.6151,Positive
2026-02-02,Infosys,FII buying seen in Infosys shares,0.464,Positive
2026-02-03,Infosys,Infosys wins major government contract,0.5745,Positive
2026-02-03,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",1.0,Positive
2026-02-06,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.7514,Positive
2026-02-07,SBI,Analysts upgrade SBI to BUY,0.5005,Positive
2026-02-07,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.4909,Positive
2026-02-09,SBI,SBI posts record quarterly profit,0.4229,Positive
2026-02-09,TCS,"TCS dividend declared, investors rejoice",0.624,Positive
2026-02-11,TCS,Analysts upgrade TCS to BUY,0.6425,Positive
2026-02-11,Reliance Industries,Reliance Industries reports strong revenue growth,0.6722,Positive
2026-02-12,SBI,"SBI dividend declared, investors rejoice",0.5863,Positive
2026-02-13,SBI,"SBI dividend declared, investors rejoice",0.6858,Positive
2026-02-15,Reliance Industries,FII buying seen in Reliance Industries shares,0.7223,Positive
2026-02-15,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.4624,Positive
2026-02-17,Infosys,Infosys announces expansion plans,0.4413,Positive
2026-02-17,TCS,Analysts upgrade TCS to BUY,0.3295,Positive
2026-02-17,Bharti Airtel,Bharti Airtel announces expansion plans,1.0,Positive
2026-02-18,ITC,Analysts upgrade ITC to BUY,0.5681,Positive
2026-02-18,TCS,Analysts upgrade TCS to BUY,0.5699,Positive
2026-02-18,Infosys,"Infosys dividend declared, investors rejoice",0.3317,Positive
2026-02-19,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.6864,Positive
2026-02-20,HDFC Bank,HDFC Bank wins major government contract,0.6747,Positive
2026-02-20,TCS,TCS Q3 results beat street estimates,0.6948,Positive
2026-02-20,HDFC Bank,HDFC Bank announces expansion plans,0.7193,Positive
2026-02-22,Infosys,Infosys announces expansion plans,0.3384,Positive
2026-02-24,HDFC Bank,HDFC Bank reports strong revenue growth,0.7187,Positive
2026-02-24,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.9215,Positive
2026-02-24,Infosys,"Infosys dividend declared, investors rejoice",0.505,Positive
2026-02-25,TCS,TCS wins major government contract,0.7691,Positive
2026-02-25,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.6308,Positive
2026-02-26,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.457,Positive
2026-02-26,TCS,TCS Q3 results beat street estimates,0.8281,Positive
